uid,pid,qb,sk,value,ydsl
19782,652373,AB-3500,MB-3875,1,-8
19783,652383,TB-2300,BD-1200,1,0
19784,652390,BR-1100,DH-2950,1,-6
19785,652466,TB-2300,WA-0100,1,-7
19786,652519,BR-1100,JS-2100,1,-7
19787,652538,JC-6200,BR-0100,0.5,-2
19788,652538,JC-6200,JP-2000,0.5,-2
19789,652549,JC-6200,JP-2000,1,-10
19790,652749,AS-1600,JW-1100,1,-9
19791,652753,BH-1900,JH-5550,1,-8
19792,652755,BH-1900,JH-5500,1,-9
19793,652775,BH-1900,AB-0100,1,-3
19794,652813,AS-1600,JW-1100,1,-1
19795,652820,BH-1900,DJ-1500,1,-9
19796,652858,RM-0300,AB-0100,1,-7
19797,652994,JM-0850,MW-1800,1,0
19798,653005,JM-0850,TR-0175,1,-7
19799,653015,JM-0850,DH-1400,1,-7
19800,653071,AL-1100,CB-4770,0.5,-3
19801,653071,AL-1100,NB-0500,0.5,-3
19802,653147,AL-1100,NR-0350,1,0
19803,653198,KC-2350,JP-2850,1,-8
19804,653254,RT-0150,JH-2800,1,-1
19805,653271,RT-0150,PS-0550,1,-38
19806,653279,RT-0150,CB-0200,0.5,-5
19807,653279,RT-0150,RK-0500,0.5,-5
19808,653361,CN-0500,CC-2600,1,-11
19809,653397,BB-2425,LK-0600,1,-5
19810,653439,CN-0500,DS-2200,1,-6
19811,653462,BB-2425,CJ-1300,1,-1
19812,653464,BB-2425,MA-0300,1,-1
19813,653476,BB-2425,TD-0700,1,-2
19814,653505,BB-2425,MA-0300,1,-5
19815,653518,RW-3850,AD-1475,1,-6
19816,653532,NF-0250,MB-1900,1,-9
19817,653564,RW-3850,LJ-1800,1,-10
19818,653574,RW-3850,RQ-0200,1,-1
19819,653604,RW-3850,AD-1475,1,-4
19820,653617,RW-3850,RQ-0200,1,-4
19821,653646,NF-0250,CW-2300,1,-12
19822,653667,RW-3850,ES-0800,1,-7
19823,653791,DB-3800,AO-0370,1,0
19824,653825,DB-3800,AO-0370,1,-1
19825,653865,PR-0300,PH-0800,1,-7
19826,653887,MS-4100,KE-0550,1,-13
19827,653895,PR-0300,EA-0550,0.5,-9
19828,653895,PR-0300,DT-0150,0.5,-9
19829,654052,MM-0912,GM-0500,1,-11
19830,654090,JW-5650,JC-1700,1,-8
19831,654091,JW-5650,DM-3600,1,-14
19832,654105,JW-5650,DM-3600,1,-2
19833,654114,MM-0912,JS-4037,1,-13
19834,654158,JW-5650,AB-1925,1,-5
19835,654236,MM-2570,CD-2200,1,-6
19836,654279,MM-2570,GA-0400,1,-14
19837,654358,JF-1900,BM-0330,1,-8
19838,654369,JF-1900,DW-1100,1,-9
19839,654377,PM-0200,AM-1200,1,-9
19840,654390,PM-0200,CM-3250,1,-6
19841,654395,PM-0200,CM-3250,1,-2
19842,654442,PM-0200,CC-0500,1,-8
19843,654551,EM-0200,TC-2950,1,-3
19844,654757,MR-2500,FC-0400,1,-8
19845,654870,TB-2650,JT-0650,1,-14
19846,654888,TB-2650,TC-0370,1,-10
19847,654924,TB-2650,AB-1500,1,-10
19848,654942,CK-0100,EG-0900,0.5,0
19849,654942,CK-0100,CG-2400,0.5,0
19850,654983,TB-2650,NB-0400,1,-6
19851,654986,TB-2650,AL-1200,1,-14
19852,655008,PM-0200,MD-0300,1,-4
19853,655015,AS-1600,DW-1100,1,-4
19854,655016,AS-1600,VM-0300,1,-5
19855,655025,PM-0200,JH-5500,1,-8
19856,655118,AS-1600,AS-2400,1,-8
19857,655122,PM-0200,JH-5500,1,-6
19858,655159,AS-1600,MJ-0030,1,-4
19859,655227,RM-0300,DE-0500,1,-5
19860,655292,CN-0500,JW-1100,1,-4
19861,655312,CN-0500,QD-0100,0.5,-13
19862,655312,CN-0500,EP-0550,0.5,-13
19863,655376,CK-0100,ST-1150,1,-4
19864,655408,CK-0100,CH-3100,1,-7
19865,655423,CK-0100,RS-0962,1,-17
19866,655453,CK-0100,ST-1150,0.5,-6
19867,655453,CK-0100,AM-2300,0.5,-6
19868,655488,CK-0100,BD-1200,1,-3
19869,655554,DB-3800,JS-4037,1,-21
19870,655560,JW-5650,KE-0125,1,-1
19871,655568,DB-3800,JS-4037,1,0
19872,655580,DB-3800,GM-0500,1,-11
19873,655664,JW-5650,HK-0100,1,-2
19874,655679,JW-5650,CJ-2400,1,-10
19875,655694,DB-3800,JS-4037,1,-4
19876,655767,TB-2650,EA-0550,1,-2
19877,655844,MS-4100,EG-0900,1,-1
19878,655958,JC-3100,JM-1650,1,-5
19879,655997,JC-3100,MG-0925,0.5,-10
19880,655997,JC-3100,KM-0425,0.5,-10
19881,656053,TT-0500,RN-1100,1,-6
19882,656058,TB-2300,MW-2300,1,0
19883,656065,TT-0500,JC-3550,1,-9
19884,656084,TT-0500,CJ-2050,1,-8
19885,656125,TT-0500,CJ-2050,1,-7
19886,656168,TT-0500,AB-2700,1,-5
19887,656169,TT-0500,JC-3550,1,-8
19888,656170,TT-0500,CJ-2050,1,-11
19889,656182,TT-0500,JC-3550,0.5,-7
19890,656182,TT-0500,DH-2950,0.5,-7
19891,656210,TT-0500,JH-5900,1,0
19892,656254,PR-0300,WG-0600,1,-2
19893,656316,PR-0300,CD-2200,1,-6
19894,656331,PR-0300,GA-0400,0.5,-3
19895,656331,PR-0300,WC-0150,0.5,-3
19896,656344,PR-0300,CD-2200,0.5,-7
19897,656344,PR-0300,GA-0400,0.5,-7
19898,656420,MM-0912,JH-5950,0.5,-4
19899,656420,MM-0912,PK-0300,0.5,-4
19900,656444,MM-0912,AB-3850,1,-7
19901,656459,MM-0912,JM-3950,1,-6
19902,656474,MM-0912,JH-5950,1,-6
19903,656475,MM-0912,AB-3850,0.5,-3
19904,656475,MM-0912,DW-2600,0.5,-3
19905,656479,JM-0850,WW-0900,1,-10
19906,656493,JM-0850,DM-3600,1,-4
19907,656530,MM-0912,KW-1550,1,-8
19908,656534,MM-0912,AB-3850,1,-4
19909,656644,MR-2500,CJ-0900,1,-6
19910,656653,EM-0200,KB-1100,1,-1
19911,656672,EM-0200,VB-0075,1,0
19912,656683,MR-2500,RA-1500,1,-11
19913,656712,NF-0250,SP-0100,1,-4
19914,656717,KC-2350,CL-1400,0.5,-8
19915,656717,KC-2350,AD-1475,0.5,-8
19916,656837,KC-2350,CL-1400,0.5,-4
19917,656837,KC-2350,NF-0100,0.5,-4
19918,656996,RT-0150,RM-4200,0.5,-8
19919,656996,RT-0150,SB-1600,0.5,-8
19920,657017,RT-0150,JO-0300,1,-7
19921,657073,DC-0725,JS-4300,1,0
19922,657230,TR-0800,CB-0800,1,-6
19923,657269,TR-0800,CT-1300,1,-6
19924,657327,TR-0800,JH-3675,1,-6
19925,657328,SB-1100,AH-3350,1,-5
19926,657445,RW-3850,MD-0060,1,0
19927,657472,AR-1300,BI-0150,1,-7
19928,657482,RW-3850,JP-2000,1,-1
19929,657496,AR-1300,MB-1900,1,-8
19930,657588,RF-0500,HA-0400,1,-1
19931,657851,KC-2350,JC-1800,1,-11
19932,657895,MR-2500,SL-0500,1,-5
19933,658019,BW-0850,VB-0075,1,-9
19934,658038,BW-0850,AC-1500,1,-3
19935,658102,AL-1100,BO-0400,1,-6
19936,658110,MM-0912,DP-0375,1,-8
19937,658127,AL-1100,KK-1000,1,-4
19938,658171,MM-0912,JF-3060,1,-8
19939,658185,AL-1100,JC-1700,1,-5
19940,658205,MM-0912,RM-1400,1,-6
19941,658256,JM-2900,RA-1350,1,-3
19942,658311,JM-2900,MS-2400,1,-5
19943,658350,JM-2900,KM-0050,1,-7
19944,658358,JM-2900,KM-0050,1,-4
19945,658394,JM-2900,NB-0050,1,-6
19946,658438,AD-0100,WH-0750,1,-8
19947,658542,AD-0100,ED-1000,1,-3
19948,658596,BB-2425,JS-2100,1,-6
19949,658623,BB-2425,JC-3550,1,0
19950,658669,TB-2300,RD-0650,1,-7
19951,658723,TB-2300,CS-2350,0.5,-5
19952,658723,TB-2300,RM-4200,0.5,-5
19953,658825,CN-0500,HK-0100,1,-3
19954,658882,LM-0800,ST-0550,1,0
19955,658998,RF-0500,CB-0800,1,-7
19956,659010,SB-1100,MW-1800,0.5,-10
19957,659010,SB-1100,LW-1350,0.5,-10
19958,659135,RM-0300,HM-0100,1,-1
19959,659314,PR-0300,AB-0650,1,-7
19960,659353,PR-0300,EG-0900,1,-8
19961,659367,PR-0300,TJ-1900,1,-11
19962,659418,PR-0300,SF-0150,0.5,-4
19963,659418,PR-0300,EG-0900,0.5,-4
19964,659456,NF-0250,ST-1150,1,-2
19965,659502,BR-1100,AO-0250,1,-9
19966,659511,NF-0250,AM-2300,1,-8
19967,659522,BR-1100,AD-1475,1,-8
19968,659523,BR-1100,MB-0650,1,-5
19969,659534,MV-0300,RQ-0200,1,-11
19970,659535,MV-0300,AO-0250,1,0
19971,659677,CK-0100,FR-0200,1,-7
19972,659685,CP-0500,AA-0562,1,-4
19973,659699,CK-0100,LW-1600,1,-7
19974,659809,RT-0150,SC-0550,1,-7
19975,659855,RT-0150,MD-0100,1,-1
19976,659909,RW-3850,JJ-1600,1,-8
19977,659923,RW-3850,JJ-1600,1,0
19978,659979,JC-3100,BI-0150,0.5,-9
19979,659979,JC-3100,BW-0150,0.5,-9
19980,659982,RW-3850,PM-0500,1,-10
19981,659983,RW-3850,PM-0500,1,-5
19982,660033,JC-3100,CA-1300,1,-6
19983,660049,MS-4100,DW-1100,1,-8
19984,660058,MS-4100,MJ-0030,0.5,-3
19985,660058,MS-4100,DW-1100,0.5,-3
19986,660132,MS-4100,SW-1750,1,-2
19987,660156,PM-0200,DT-0150,1,-11
19988,660174,MS-4100,SB-0225,1,-7
19989,660251,AS-1600,JT-1650,1,-2
19990,660275,AR-1300,TH-0200,1,-8
19991,660308,AS-1600,JE-0350,1,-10
19992,660309,AS-1600,MD-0060,0.5,-7
19993,660309,AS-1600,MN-0300,0.5,-7
19994,660331,AS-1600,MD-0060,1,-6
19995,660332,AS-1600,CM-0900,1,-1
19996,660371,AS-1600,CM-0900,1,-7
19997,660380,AS-1600,NP-0130,1,-6
19998,660401,JF-1900,ST-1150,1,-5
19999,660434,JF-1900,LT-0400,1,0
20000,660441,MV-0300,DS-2700,1,-9
20001,660457,JF-1900,SS-2450,1,-6
20002,660468,JF-1900,CH-3100,1,0
20003,660487,MV-0300,ZS-0075,1,-6
20004,660488,MV-0300,ZS-0075,1,-7
20005,660496,MV-0300,ED-1000,1,-6
20006,660532,JF-1900,JH-2100,1,-10
20007,660599,RT-0150,MW-1800,1,-10
20008,660609,RT-0150,DH-1400,1,-10
20009,660694,RT-0150,MW-1800,1,-11
20010,660789,BB-2425,KL-0200,1,-9
20011,660850,MH-1600,AC-2250,1,-2
20012,660856,MH-1600,RD-0650,1,-10
20013,660909,MH-1600,RD-0650,0.5,-4
20014,660909,MH-1600,TS-2050,0.5,-4
20015,661053,EM-0200,CG-1700,1,-1
20016,661116,TT-0500,CJ-0900,1,-2
20017,661128,TT-0500,NW-0350,1,-14
20018,661203,CN-0500,GM-0500,1,-9
20019,661222,JW-5650,RD-0850,1,-8
20020,661244,JW-5650,RD-0850,1,-9
20021,661257,CN-0500,DL-0400,1,-4
20022,661321,SB-1100,CB-0200,1,-8
20023,661346,SB-1100,CB-0200,1,-7
20024,661367,KC-2350,BG-1200,1,0
20025,661374,SB-1100,PS-0550,1,-9
20026,661470,SB-1100,TM-3450,1,-7
20027,661471,SB-1100,RK-0500,1,-6
20028,661509,JC-6200,JT-3800,1,-2
20029,661548,DC-0725,EG-0350,1,-15
20030,661552,JC-6200,AS-1500,1,-5
20031,661556,DC-0725,JJ-1600,1,-8
20032,661626,JC-6200,KM-0050,1,-1
20033,661667,MR-2500,JC-5630,1,-5
20034,661687,MR-2500,JW-1100,0.5,-8
20035,661687,MR-2500,JS-3250,0.5,-8
20036,661817,BH-1900,RH-0150,1,-8
20037,661835,AS-1600,MJ-1800,1,-9
20038,661857,AS-1600,DP-0900,1,-2
20039,661873,AS-1600,DP-0900,1,-9
20040,661900,AS-1600,CD-2200,1,-8
20041,661933,AS-1600,GA-0400,1,-10
20042,661996,JM-2900,MI-0150,0.5,-8
20043,661996,JM-2900,EW-0400,0.5,-8
20044,661998,PR-0300,CK-0850,1,-7
20045,662042,JM-2900,MI-0150,1,-3
20046,662072,JM-2900,JA-2825,1,-1
20047,662121,PR-0300,XC-0100,1,-4
20048,662129,JM-2900,JA-2825,1,-12
20049,662218,CK-0100,NP-0130,1,-10
20050,662219,CK-0100,JE-0350,1,-7
20051,662236,AR-1300,AB-3100,1,-9
20052,662261,CK-0100,CM-0900,1,-8
20053,662276,CK-0100,NP-0130,1,-2
20054,662284,AR-1300,AL-1200,1,-8
20055,662287,CK-0100,JP-2000,1,-6
20056,662291,AR-1300,AL-1200,1,-7
20057,662299,CK-0100,MN-0300,1,-8
20058,662321,CP-0500,LJ-1800,1,-1
20059,662324,CP-0500,CL-1400,1,-7
20060,662328,NF-0250,CC-0200,0.5,-7
20061,662328,NF-0250,MG-0925,0.5,-7
20062,662424,CP-0500,TM-1750,1,-6
20063,662454,CP-0500,JL-0600,1,-4
20064,662476,TB-2650,TW-0600,1,-13
20065,662478,TB-2650,DW-1100,1,-13
20066,662500,TB-2650,SR-0250,1,-8
20067,662507,PM-0200,EK-0250,1,-6
20068,662529,PM-0200,BR-1000,1,-7
20069,662600,TB-2650,SW-1750,0.5,-8
20070,662600,TB-2650,MJ-0030,0.5,-8
20071,662615,TB-2650,CN-0450,1,-1
20072,662631,TB-2650,VM-0300,1,-9
20073,662635,TB-2650,TW-0600,1,-5
20074,662678,DB-3800,AH-3350,0.5,-9
20075,662678,DB-3800,DW-4025,0.5,-9
20076,662687,DB-3800,DL-0450,1,-9
20077,662704,BW-0850,SA-1150,1,-8
20078,662728,BW-0850,HK-0100,1,-11
20079,662743,DB-3800,JC-5560,1,-6
20080,662753,BW-0850,TD-0850,1,-7
20081,662838,RW-3850,TL-0850,1,-9
20082,662863,RW-3850,EA-0550,1,-9
20083,662866,RW-3850,JJ-4300,0.5,-11
20084,662866,RW-3850,DT-0150,0.5,-11
20085,662902,RW-3850,DT-0100,1,-5
20086,662915,RW-3850,EA-0550,1,-9
20087,662926,RW-3850,JI-0200,1,-9
20088,662954,RM-0300,EW-0100,1,0
20089,663133,JC-6200,JH-5550,0.5,-10
20090,663133,JC-6200,AB-0100,0.5,-10
20091,663180,AS-1600,PM-0500,1,-2
20092,663193,AS-1600,WY-0300,1,-8
20093,663235,JC-6200,AB-0100,1,-3
20094,663238,AS-1600,LH-1900,1,-1
20095,663323,AD-0100,CA-1300,1,-7
20096,663331,RW-3850,AJ-1200,1,-1
20097,663382,AD-0100,DS-1730,1,-5
20098,663390,RW-3850,CD-2200,1,-7
20099,663394,AD-0100,MB-1900,1,-6
20100,663415,AD-0100,AR-2000,1,-3
20101,663428,RW-3850,GA-0400,1,0
20102,663456,RW-3850,CD-2200,0.5,-8
20103,663456,RW-3850,EL-0060,0.5,-8
20104,663478,KC-2350,NS-0750,1,0
