uid,pid,qb,sk,value,ydsl
20105,663484,MR-2500,RK-0500,1,-9
20106,663528,MR-2500,CB-0200,1,0
20107,663536,MR-2500,RK-0500,1,-3
20108,663644,BB-2425,HJ-0300,1,-6
20109,663671,JW-5650,RM-4200,1,-9
20110,663679,BB-2425,HJ-0300,1,-9
20111,663700,BB-2425,KA-0625,0.5,-6
20112,663700,BB-2425,AV-0300,0.5,-6
20113,663729,JW-5650,AC-2250,1,-14
20114,663754,BB-2425,LD-0150,1,-4
20115,663784,BB-2425,GM-0500,0.5,-5
20116,663784,BB-2425,KA-0625,0.5,-5
20117,663786,BB-2425,GM-0500,1,-3
20118,663804,DB-3800,BL-1350,1,-7
20119,663866,DB-3800,FC-0400,1,-10
20120,663875,DB-3800,FC-0400,1,-8
20121,663908,DB-3800,FC-0400,1,-7
20122,663971,DB-3800,BB-2600,1,-11
20123,664006,JM-2900,LG-1000,1,-5
20124,664043,JM-2900,LG-1000,1,-10
20125,664065,JM-2900,BW-2020,1,-9
20126,664102,JF-1900,AB-3850,1,-14
20127,664118,JM-2900,TJ-1025,1,-11
20128,664195,NF-0250,NP-0130,0.5,-7
20129,664195,NF-0250,CM-0900,0.5,-7
20130,664291,AR-1300,RQ-0200,1,-2
20131,664295,NF-0250,JP-2000,1,-7
20132,664305,AR-1300,MB-3650,1,-3
20133,664323,NF-0250,CM-0900,1,-8
20134,664385,TT-0500,JC-1700,1,-3
20135,664393,MM-0912,MW-2300,1,-5
20136,664399,TT-0500,JC-1700,0.5,-5
20137,664399,TT-0500,DM-3600,0.5,-5
20138,664422,TT-0500,AW-1450,1,-12
20139,664454,MM-0912,KW-1600,1,-3
20140,664486,TT-0500,DM-3600,1,-11
20141,664509,CP-0500,JJ-4300,1,-6
20142,664511,CP-0500,EA-0550,1,-7
20143,664582,MS-4100,JP-4100,1,0
20144,664676,TB-2300,RM-2000,1,-9
20145,664680,BW-0850,DH-2950,1,-9
20146,664683,TB-2300,GH-0300,1,-7
20147,664714,TB-2300,GH-0300,1,0
20148,664717,TB-2300,JC-5560,1,-4
20149,664743,BW-0850,JS-2100,1,-8
20150,664746,TB-2300,TC-2950,1,-8
20151,664801,BW-0850,JS-2100,1,-7
20152,664855,DC-0725,MJ-0030,1,-5
20153,664907,DC-0725,VM-0300,1,-7
20154,664920,PM-0200,MS-2400,1,-8
20155,664939,DC-0725,SB-0225,1,-7
20156,664949,PM-0200,ME-0425,0.5,-4
20157,664949,PM-0200,AS-1500,0.5,-4
20158,664975,DC-0725,SR-0250,1,-7
20159,665013,CK-0100,DM-2950,1,-3
20160,665162,CK-0100,DM-2950,1,-3
20161,665183,MV-0300,DS-5100,1,-2
20162,665223,PR-0300,JJ-4250,1,-7
20163,665230,MV-0300,CL-1000,1,-3
20164,665254,PR-0300,BD-1200,1,-4
20165,665257,MV-0300,RM-1100,1,-4
20166,665356,MR-2500,KE-0125,1,-11
20167,665405,DB-3800,AC-1500,1,-8
20168,665477,MR-2500,CJ-2400,1,-7
20169,665478,MR-2500,HK-0100,1,-9
20170,665491,MR-2500,CJ-2400,1,-4
20171,665503,MR-2500,CJ-2400,1,-1
20172,665550,KC-2350,MW-1800,0.5,-5
20173,665550,KC-2350,SR-0670,0.5,-5
20174,665687,MV-0300,CC-0200,1,-5
20175,665770,CP-0500,JH-2100,1,-7
20176,665836,TB-2650,AB-0100,1,-5
20177,665859,AS-1600,EK-0250,1,-4
20178,665871,AS-1600,SF-0150,0.5,-7
20179,665871,AS-1600,DH-4650,0.5,-7
20180,665962,TB-2650,JH-5500,1,-7
20181,666058,EM-0250,CD-2200,0.5,0
20182,666058,EM-0250,BT-0650,0.5,0
20183,666137,EM-0250,CD-2200,1,-7
20184,666173,MS-4100,EG-0350,0.5,-7
20185,666173,MS-4100,JJ-1600,0.5,-7
20186,666224,JC-6200,BC-2350,0.5,0
20187,666224,JC-6200,JW-5300,0.5,0
20188,666324,MS-4100,PM-0500,1,-7
20189,666395,JM-2900,BM-0330,1,-5
20190,666454,JM-2900,SB-0225,1,-9
20191,666536,JM-2900,MJ-0030,1,-8
20192,666537,JM-2900,AS-2400,0.5,-2
20193,666537,JM-2900,SB-0225,0.5,-2
20194,666593,BB-2425,WM-0550,1,-7
20195,666662,BH-1900,MB-2050,0.5,-6
20196,666662,BH-1900,DS-2200,0.5,-6
20197,666712,BB-2425,WM-0550,1,0
20198,666730,BB-2425,JS-3250,1,-8
20199,666775,MM-0912,CW-0100,1,-7
20200,666779,MM-0912,CW-0100,1,0
20201,666786,MM-0912,CW-0100,1,-11
20202,666804,MM-0912,OV-0200,1,-12
20203,666818,MM-0912,CW-0100,1,-7
20204,666848,RT-0150,BO-0400,1,-2
20205,666859,RT-0150,WW-0900,1,-10
20206,666899,ZM-0150,JK-1950,1,-9
20207,666907,CN-0500,BI-0150,1,-8
20208,666948,RW-3850,WH-0850,1,-3
20209,666968,RW-3850,KS-0850,1,-6
20210,667019,CN-0500,MM-5200,1,-4
20211,667027,RW-3850,TD-0700,1,-10
20212,667054,RW-3850,KS-0850,1,-3
20213,667060,CN-0500,BI-0150,1,-9
20214,667143,AR-1300,JA-2825,1,-9
20215,667163,AR-1300,JA-2825,1,-4
20216,667190,PR-0300,JP-2000,1,-3
20217,667208,PR-0300,MD-0060,0.5,-8
20218,667208,PR-0300,MN-0300,0.5,-8
20219,667214,AR-1300,CL-1000,1,-5
20220,667222,PR-0300,DJ-2350,1,-4
20221,667324,CK-0100,TJ-1025,0.5,-5
20222,667324,CK-0100,DS-2700,0.5,-5
20223,667346,CK-0100,ED-1000,0.5,-8
20224,667346,CK-0100,DS-2700,0.5,-8
20225,667373,CK-0100,LG-1000,1,-1
20226,667471,TB-2300,JN-1350,1,-4
20227,667531,AL-1100,DE-0050,0.5,-11
20228,667531,AL-1100,CJ-2050,0.5,-11
20229,667552,AL-1100,CJ-2050,1,-4
20230,667566,AL-1100,CJ-2050,1,-8
20231,667570,TB-2300,DL-2300,1,-7
20232,667662,EM-0200,VC-0400,1,-9
20233,667682,EM-0200,VC-0400,0.5,-6
20234,667682,EM-0200,BG-1200,0.5,-6
20235,667696,SB-1100,DM-2950,1,-10
20236,667709,EM-0200,FC-0400,1,-8
20237,667815,CK-0100,MB-1900,1,-5
20238,667838,RW-3850,AB-3100,1,-1
20239,667844,CK-0100,MB-1900,0.5,-4
20240,667844,CK-0100,CA-1300,0.5,-4
20241,667845,CK-0100,MB-1900,1,-4
20242,667850,RW-3850,QD-0200,1,-2
20243,667854,CK-0100,CA-1300,1,-14
20244,667861,RW-3850,AL-1200,1,-6
20245,667894,RW-3850,AL-1200,1,-5
20246,667898,CK-0100,MB-1900,1,-7
20247,667899,CK-0100,DK-0650,0.5,-9
20248,667899,CK-0100,BM-1800,0.5,-9
20249,667904,RW-3850,AB-3100,1,-9
20250,667959,EM-0250,TA-0600,1,-9
20251,667974,EM-0250,AC-2250,1,-17
20252,668005,BB-2425,MW-2300,1,-5
20253,668071,EM-0250,AB-2730,1,-8
20254,668078,EM-0250,AJ-1150,1,-6
20255,668090,BB-2425,DW-3950,1,-2
20256,668161,KC-2350,JS-4037,1,-12
20257,668226,JW-5650,SP-0100,0.5,-8
20258,668226,JW-5650,TK-0800,0.5,-8
20259,668359,ZM-0150,OS-0400,1,-8
20260,668424,DB-3800,RM-1400,1,-5
20261,668430,AL-1100,CJ-2400,1,-2
20262,668503,AL-1100,CJ-2400,1,-10
20263,668539,AL-1100,BR-0350,0.5,-5
20264,668539,AL-1100,JJ-1650,0.5,-5
20265,668541,AL-1100,KV-0050,1,-15
20266,668576,DB-3800,KL-0200,1,-9
20267,668637,TB-2650,KV-0075,1,-1
20268,668656,TB-2650,HN-0300,1,-11
20269,668662,MS-4100,CG-2400,1,-6
20270,668672,MS-4100,EG-0900,1,-12
20271,668686,MS-4100,HS-0130,1,-8
20272,668695,TB-2650,EA-0550,1,-8
20273,668716,TB-2650,CR-0650,1,-11
20274,668719,MS-4100,EK-0250,1,-4
20275,668721,MS-4100,EG-0900,0.5,-8
20276,668721,MS-4100,AB-0650,0.5,-8
20277,668737,MS-4100,EK-0250,1,-9
20278,668748,MS-4100,TJ-1900,1,-12
20279,668845,AS-1600,CH-3100,1,-5
20280,668888,AS-1600,RS-0962,0.5,-7
20281,668888,AS-1600,LT-0400,0.5,-7
20282,668896,LJ-1250,TH-0200,1,-8
20283,668916,LJ-1250,TH-0200,1,-9
20284,668936,JM-2900,WH-0300,1,-7
20285,668956,JM-2900,AD-1475,1,0
20286,669015,NF-0250,RS-2800,1,-9
20287,669037,JM-2900,EW-0550,1,-8
20288,669051,NF-0250,DB-5200,1,-4
20289,669066,JM-2900,WH-0300,1,0
20290,669136,BH-1900,CW-0100,1,-1
20291,669145,RT-0150,JS-3250,1,-8
20292,669170,BH-1900,NS-0800,1,-7
20293,669171,BH-1900,NS-0800,1,-8
20294,669172,BH-1900,CW-0100,1,-6
20295,669177,RT-0150,JC-3350,1,-13
20296,669191,RT-0150,JW-1100,1,-11
20297,669202,RT-0150,JW-1100,1,-9
20298,669266,RF-0500,CJ-2050,1,0
20299,669269,TB-2300,MW-1800,1,-6
20300,669342,TB-2300,CP-0100,1,-8
20301,669347,RF-0500,JC-3550,1,-12
20302,669351,TB-2300,SR-0670,1,-4
20303,669497,DC-0725,BF-0800,1,-7
20304,669570,PR-0300,MS-2400,1,-9
20305,669682,EM-0200,GH-0300,1,-5
20306,669734,EM-0200,JC-5560,1,-8
20307,669772,MC-0700,MK-1700,0.5,0
20308,669772,MC-0700,GS-0800,0.5,0
20309,669789,SB-1100,MA-0300,1,-5
20310,669805,SB-1100,KS-0850,1,-7
20311,669813,CN-0500,MK-0730,1,-7
20312,669933,SB-1100,KS-0850,1,-9
20313,669945,SB-1100,KS-0850,1,-6
20314,669948,SB-1100,JA-0900,1,-6
20315,669968,CP-0500,CM-3250,1,-3
20316,669978,JF-1900,FR-0200,1,-11
20317,670037,JF-1900,DF-1900,1,-11
20318,670085,JF-1900,TM-0850,1,-9
20319,670088,CP-0500,ZO-0100,1,-8
20320,670139,RT-0150,CJ-2050,1,-6
20321,670167,TB-2300,CW-0100,1,-7
20322,670172,RT-0150,CJ-2050,1,-8
20323,670255,RT-0150,RN-1100,1,-10
20324,670256,RT-0150,DH-2950,1,-8
20325,670264,TB-2300,OV-0200,1,-7
20326,670278,RT-0150,DM-1300,1,-13
20327,670299,MS-4100,RP-0200,1,-4
20328,670320,AS-1600,DT-0150,1,-7
20329,670324,MS-4100,DJ-1500,1,-7
20330,670362,MS-4100,RP-0200,1,-5
20331,670364,MS-4100,DP-1450,1,-2
20332,670367,AS-1600,EA-0550,1,-1
20333,670396,AS-1600,JJ-4300,1,-7
20334,670403,MS-4100,JH-5500,1,-8
20335,670406,MS-4100,JH-5500,0.5,-6
20336,670406,MS-4100,TH-0200,0.5,-6
20337,670516,JW-5650,OS-0400,1,-4
20338,670591,JW-5650,RA-0675,1,0
20339,670623,MR-2500,HJ-0300,1,-2
20340,670672,CP-0500,DB-5200,1,-2
20341,670742,JM-2900,DF-1900,1,-8
20342,670866,CK-0100,MB-3650,1,-3
20343,670933,CK-0100,RQ-0200,1,-5
20344,670947,CK-0100,EW-0550,1,-3
20345,671002,EM-0200,RH-3300,1,-5
20346,671033,EM-0200,KE-0125,1,-3
20347,671193,JC-6200,DH-4650,1,-3
20348,671302,TB-2650,PM-0500,1,-7
20349,671323,PR-0300,TJ-1025,1,-11
20350,671330,JF-1900,DB-6300,0.5,-6
20351,671330,JF-1900,MI-0150,0.5,-6
20352,671408,JF-1900,MI-0150,1,-12
20353,671426,JF-1900,KR-0460,1,-8
20354,671527,AD-0100,BD-1200,1,0
20355,671535,BR-1100,MJ-1800,1,-12
20356,671540,AD-0100,RS-0962,0.5,-4
20357,671540,AD-0100,JJ-4250,0.5,-4
20358,671582,AD-0100,SM-2200,1,-9
20359,671614,BR-1100,WG-0600,1,-2
20360,671651,BR-1100,GA-0400,1,-8
20361,671733,BH-1900,KK-1000,1,-8
20362,671735,ZM-0150,WM-0550,1,-6
20363,671739,BH-1900,BO-0400,1,-7
20364,671746,ZM-0150,WM-0550,1,-7
20365,671774,ZM-0150,JW-1100,1,-8
20366,671780,ZM-0150,JW-1100,1,-1
20367,671787,ZM-0150,WM-0550,1,-6
20368,671789,ZM-0150,JC-5630,1,-9
20369,671794,BH-1900,JC-1700,0.5,-6
20370,671794,BH-1900,ZB-0400,0.5,-6
20371,671803,ZM-0150,JW-1100,0.5,-9
20372,671803,ZM-0150,WM-0550,0.5,-9
20373,671923,GS-1050,DA-2050,1,-3
20374,671968,GS-1050,DH-2150,1,-5
20375,671975,GS-1050,KM-0050,1,-11
20376,672131,MC-0700,BI-0150,1,-6
20377,672246,AR-1300,AS-2400,1,-8
20378,672259,AR-1300,DW-1100,1,-10
20379,672266,AR-1300,VM-0300,1,-9
20380,672321,AL-1100,KE-0050,1,-1
20381,672401,AL-1100,JA-0900,1,-7
20382,672405,CN-0500,RM-1400,1,-9
20383,672480,CN-0500,RM-1400,1,0
20384,672521,AD-0100,DB-5200,1,-7
20385,672562,AD-0100,PK-0300,1,-8
20386,672595,JM-0850,CD-2200,1,-5
20387,672596,JM-0850,GA-0400,1,-8
20388,672625,JM-0850,CD-2200,1,-11
20389,672643,AR-1300,SL-0950,1,-8
20390,672701,AR-1300,KS-0850,1,-9
20391,672713,AR-1300,TD-0700,1,-8
20392,672727,AR-1300,KC-1800,1,-7
20393,672767,AR-1300,KE-0050,1,-6
20394,672860,KC-2350,CJ-2050,1,-4
20395,673025,DB-3800,BO-0400,1,-4
20396,673085,DB-3800,WW-0900,1,-11
20397,673122,DB-3800,AB-1925,1,-9
20398,673137,DB-3800,BO-0400,1,-8
20399,673189,TT-0500,RJ-2000,1,-12
20400,673249,TT-0500,JP-2850,1,-6
20401,673259,RT-0150,JH-5900,1,-16
20402,673284,TT-0500,NS-0800,1,-9
20403,673299,RT-0150,JH-5900,1,-11
20404,673400,NF-0250,LJ-1700,0.5,-8
20405,673400,NF-0250,AS-0600,0.5,-8
20406,673468,SH-1100,MA-0450,1,-11
20407,673506,BB-2425,LM-0550,0.5,-5
20408,673506,BB-2425,MW-2250,0.5,-5
20409,673539,BB-2425,SR-0670,0.5,-7
20410,673539,BB-2425,LM-0550,0.5,-7
20411,673548,RF-0500,JO-0300,1,-8
20412,673586,BB-2425,LW-1350,0.5,-5
20413,673586,BB-2425,DB-0250,0.5,-5
20414,673588,BB-2425,LM-0550,1,-4
20415,673594,RF-0500,CC-2600,1,-3
20416,673641,BB-2425,CP-0100,1,-14
20417,673822,BR-1100,AS-1500,1,-11
20418,674053,MR-2500,AL-1200,1,-9
20419,674164,MR-2500,NB-0400,1,-9
20420,674266,AL-1100,DW-1100,1,-7
20421,674323,PM-0200,KL-0200,1,-7
20422,674429,MC-0700,BG-1200,1,67
20423,674448,MC-0700,MK-0730,1,-6
20424,674460,MC-0700,BG-1200,1,-8
20425,674476,SB-1100,GH-0300,1,-8
20426,674479,MC-0700,CB-0800,1,-1
20427,674576,JC-6200,MI-0150,1,-8
20428,674706,PR-0300,LH-1900,1,-8
20429,674708,PR-0300,LH-1900,1,-10
