tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8198,4099,STL,27,2,18,0,7,7,5,4,200,44,191,23,14,0,0,1,8,436,3,1,2,19,0,0,93,32,3,2,1,0,1,2,38,1,1,84,135,15,9,6,0,8,3,4,1,2,-7,10,31,1,1,8,79,4,23,9,29,4,13,20,108,15,54,3,7,0,0,3,74,1,0,13,42,3,69,1,0,2,0,9,92,5,10,5,64,4,19,29,330,7,34,8,91,8,60,7,3,4,6,15,8,38,0,0,0,0,1,2,2,-2,0,0,0,390,15,398,0,4,0,9,4.5,3,4,8,12.5,12,0,0,7,0,7,2,0,2,2,2,1,3,2,69,67
8199,4100,NYG,49,7,14,7,21,5,16,7,87,21,329,41,30,3,0,1,4,212,1,13,5,169,1,2,53,25,7,0,6,1,0,0,0,4,4,46,179,9,6,3,0,25,12,10,3,0,0,0,0,10,47,0,0,10,39,1,1,0,0,16,58,4,30,1,-1,0,0,16,111,6,38,13,90,1,0,2,41,3,70,18,185,8,45,3,29,12,91,47,324,16,151,19,154,9,37,7,16,7,7,23,12,106,0,0,6,70,5,4,9,48,21,0,0,292,11,162,1,1,0,13.5,0,6.5,8,6,25,12,2,1,5,1,6,7,1,3,1,1,0,2,0,73,78
8200,4100,NO,52,14,14,14,10,10,24,1,103,26,511,50,40,0,1,1,2,95,2,30,2,26,0,0,93,35,7,0,7,0,1,1,50,2,2,48,246,14,7,4,3,34,17,12,5,4,18,4,26,9,28,1,1,6,19,0,0,2,11,15,63,8,18,3,22,1,1,14,135,9,113,17,96,4,42,2,45,4,80,17,202,9,90,13,152,11,67,41,408,24,244,17,205,9,62,9,20,11,5,14,9,162,7,28,16,103,5,13,4,31,0,2,0,336,12,82,0,0,0,7,0,9.5,6,4.5,18,3,4,4,5,2,7,0,4,1,0,1,5,2,0,78,73
8201,4101,MIN,23,7,3,0,13,8,7,2,147,25,180,30,17,1,1,0,4,134,3,77,3,55,0,0,35,27.5,2,0,1,0,3,3,127,2,0,70,95,15,9,6,0,14,5,4,5,4,24,6,21,5,31,0,0,4,15,6,56,0,0,15,91,9,58,1,-2,2,21,12,84,1,16,11,52,1,0,0,0,3,35,16,95,3,43,5,37,5,12,26,198,10,31,10,67,11,82,6,6,5,7,25,6,18,3,32,11,107,1,2,0,0,7,0,0,256,10,131,0,3,1,7.5,2,6.5,4.5,10,15.5,3,1,0,6,2,2,0,2,1,0,0,0,1,0,58,61
8202,4101,CHI,20,3,7,3,7,6,11,1,97,25,208,33,22,1,0,0,5,221,2,3,3,78,1,15,38,32.5,2,1,1,0,2,3,88,2,1,14,69,11,6,5,0,14,5,5,4,0,0,4,20,3,9,0,0,7,33,7,21,4,14,14,54,11,43,0,0,2,11,10,29,0,0,14,94,3,41,1,19,5,28,18,118,5,33,5,32,5,28,46,324,11,61,10,75,13,72,8,8,6,7,28,5,8,9,32,8,47,2,6,2,11,3,0,0,259,10,144,0,1,0,6.5,2.5,8,5,8.5,8.5,17,2,1,8,3,3,0,0,2,0,0,1,1,0,61,58
8203,4102,SD,26,3,13,7,3,4,15,3,81,26,290,36,28,1,0,0,4,177,1,2,0,0,0,0,66,30,3,0,3,0,2,2,91,2,2,0,149,13,7,5,1,21,8,7,6,1,1,3,9,11,29,1,0,9,39,1,3,0,0,16,51,8,26,2,4,1,0,13,91,5,58,14,82,2,0,1,60,1,0,12,120,5,35,8,77,11,59,60,444,11,97,15,72,11,111,11,12,5,6,21,9,67,7,17,8,55,2,4,3,29,11,2,0,173,9,160,0,1,0,8,1,10.5,4.5,4.5,18.5,44,3,1,5,2,5,0,1,0,2,0,1,2,0,67,68
8204,4102,BAL,29,6,7,6,10,6,14,3,73,26,293,37,25,3,0,0,2,122,2,17,1,33,0,0,46,30,2,1,1,0,5,5,209,4,2,11,124,12,7,3,2,18,8,6,4,1,8,5,18,7,22,4,11,4,7,2,14,1,-7,14,48,7,20,3,5,3,3,9,36,7,45,13,78,3,36,1,0,4,124,7,62,17,160,6,23,7,74,24,140,16,165,14,67,10,61,8,9,8,4,13,10,73,12,26,7,71,5,13,7,27,26,0,0,252,10,124,0,1,0,6.5,3.5,12.5,7,7,14.5,1,5,4,5,0,5,0,1,2,0,0,3,1,0,68,67
8205,4103,CIN,16,3,3,0,10,3,11,2,80,25,218,38,23,3,2,0,4,136,3,38,2,52,3,51,94,30,1,0,1,0,3,4,133,3,1,39,126,8,5,3,0,19,6,9,4,0,0,2,17,0,0,11,34,3,15,3,11,2,3,11,46,7,38,3,-4,4,6,10,21,9,70,11,59,3,20,2,23,3,38,20,128,5,12,9,61,4,30,48,311,15,67,14,74,12,77,6,12,5,4,34,9,42,7,17,16,106,2,11,6,17,13,0,0,431,12,136,0,3,0,6.5,4.5,5.5,9.5,7,15,28,5,2,6,0,6,0,4,1,1,1,2,3,1,67,75
8206,4103,PIT,10,7,0,3,0,3,15,3,116,19,240,45,28,3,3,0,6,213,0,0,2,34,2,49,91,30,1,0,1,0,1,1,32,3,1,55,46,9,4,5,0,23,10,10,3,1,6,3,16,5,46,7,22,2,7,1,4,0,0,11,30,8,71,0,0,0,0,7,59,13,97,12,48,4,0,6,58,3,0,13,52,11,49,14,109,7,52,51,254,20,80,17,135,11,25,10,13,5,6,25,9,47,2,6,16,69,1,5,5,13,22,2,0,242,12,175,0,3,0,3.5,2.5,6.5,6,9,14.5,18,2,2,6,0,2,0,1,5,2,0,1,4,1,75,67
8207,4104,TEN,6,3,0,3,0,3,9,3,86,20,125,31,22,7,1,2,7,349,5,63,4,97,0,0,45,31,0,0,0,0,2,2,79,1,0,28,0,9,5,4,0,14,9,4,1,2,5,2,5,2,2,6,23,2,14,3,0,3,37,12,66,7,20,1,0,0,0,7,34,10,72,9,47,3,0,1,0,1,18,7,21,7,29,8,80,9,41,36,115,14,86,12,25,12,14,6,14,2,10,29,5,22,0,0,0,0,1,2,1,0,46,1.5,0,314,13,321,0,3,0,7,1.5,11.5,4,3.5,17.5,3,2,1,8,0,4,0,1,1,0,1,3,1,1,59,64
8208,4104,HOU,20,0,10,7,3,1,11,2,57,24,214,35,23,3,0,0,8,407,3,28,1,29,1,22,85,29,2,0,2,0,2,2,62,1,0,0,63,3,2,1,0,15,6,5,4,1,1,3,12,1,0,6,16,2,3,6,17,3,8,13,29,7,22,2,6,0,0,13,60,5,12,12,100,3,21,1,42,0,0,17,168,4,3,3,15,10,49,30,124,13,112,11,42,14,60,4,16,3,4,11,11,35,0,0,0,0,1,3,2,1,21,3.5,0,476,14,324,1,2,0,5.5,6.5,7.5,13,7,9.5,0,1,1,9,1,6,0,1,2,2,0,0,3,0,64,59
8209,4105,NYJ,20,3,3,7,7,4,16,2,74,21,292,47,31,3,1,0,4,182,2,10,2,38,0,0,40,29.5,2,0,2,0,2,2,78,2,2,41,97,9,4,3,2,27,12,9,6,2,9,2,4,4,17,7,2,2,3,0,0,4,39,8,25,9,32,4,17,3,46,14,85,15,125,10,52,2,0,4,21,2,28,25,168,12,104,4,8,6,31,55,397,21,128,14,90,15,74,7,20,4,9,20,6,48,0,0,0,0,1,0,5,14,19,0,0,261,11,176,0,1,0,13.5,2,6.5,6.5,3,10.5,17,6,3,5,1,8,0,1,1,2,1,0,0,2,73,62
8210,4105,OAK,34,7,14,10,3,7,13,1,120,27,333,36,23,0,0,0,3,135,4,6,4,101,1,0,61,30.5,4,0,4,0,2,3,99,1,1,75,189,10,4,6,0,19,9,6,4,4,4,2,0,3,11,7,41,2,4,2,26,3,34,12,58,11,62,0,0,0,0,9,50,5,12,17,165,2,0,2,57,1,49,21,148,4,75,4,19,7,91,33,358,15,152,11,83,10,98,5,11,7,5,42,6,32,0,0,0,0,2,7,2,5,0,0,1,283,12,125,0,1,0,11.5,4,6,3,3.5,25,0,2,2,6,1,6,0,0,4,1,0,3,0,1,62,73
8211,4106,SEA,13,3,7,0,3,8,11,0,114,32,210,30,19,0,1,0,4,193,1,12,1,18,0,0,40,29.5,1,0,1,0,2,3,50,2,0,33,22,16,7,7,2,15,8,4,3,2,-4,4,20,6,24,8,32,1,7,2,6,7,29,15,50,12,47,3,17,5,33,10,89,4,39,11,82,1,0,0,0,3,0,7,35,7,39,12,116,3,20,34,307,12,109,9,62,9,39,3,10,6,7,23,6,53,16,62,9,68,8,19,1,0,0,0,0,259,10,185,0,1,0,11.5,2.5,7.5,4.5,10,7,2,1,1,6,2,8,0,1,1,1,0,1,1,0,62,60
8212,4106,DAL,12,3,3,3,3,8,4,2,130,31,91,26,13,1,0,0,4,188,2,8,0,0,1,9,40,30.5,0,0,0,0,4,4,147,3,0,48,0,14,4,7,3,7,4,1,2,6,46,6,22,2,1,8,41,1,2,4,10,2,8,11,55,13,57,5,18,3,44,7,44,5,35,11,18,2,0,0,0,1,0,8,32,1,0,6,16,11,49,24,158,10,29,6,15,11,47,4,7,2,8,32,6,38,3,7,6,-3,1,4,2,3,6,0,0,275,10,176,0,2,0,15,1,8,3,7,12,0,5,3,8,1,6,0,2,2,1,0,0,0,0,60,62
8213,4107,GB,10,0,7,3,0,7,3,4,90,21,50,22,14,3,0,0,5,231,1,9,2,45,1,0,15,26.5,1,1,0,0,1,1,56,1,1,67,0,9,5,3,1,7,5,1,1,1,10,2,16,1,1,12,43,1,0,3,6,1,14,12,51,7,21,2,18,2,31,6,9,3,14,9,37,1,0,3,17,0,0,11,35,2,2,5,22,4,18,27,122,10,31,9,2,6,17,8,5,1,3,15,8,15,0,0,0,0,2,3,0,0,27,0,0,173,9,219,0,2,0,13.5,0,10,4,7.5,17,4,1,0,6,2,7,0,1,1,0,0,2,0,0,53,67
8214,4107,DEN,29,7,10,7,5,9,15,0,160,34,340,29,21,0,1,0,3,120,3,12,1,13,0,0,93,33.5,3,3,0,0,2,2,74,3,2,96,177,14,6,4,4,18,8,8,2,3,6,5,13,5,12,11,60,4,30,3,22,3,17,18,74,10,40,6,46,0,0,9,60,9,110,5,51,3,47,2,48,1,24,16,190,4,45,6,105,3,0,49,534,12,167,11,132,6,41,2,8,11,8,36,9,105,0,0,0,0,4,17,3,11,0,2,0,198,9,111,0,1,0,7.5,2,6,8.5,5.5,5.5,13,4,4,6,1,13,2,1,5,1,2,3,1,0,67,53
8215,4108,IND,26,0,6,0,17,5,14,0,136,35,223,45,23,2,3,1,6,292,4,14,5,150,1,0,15,36,2,0,2,0,4,4,155,4,2,44,50,17,6,9,2,19,4,10,5,3,5,5,11,4,26,15,56,4,14,1,7,3,17,14,37,16,79,5,20,6,35,15,48,7,51,9,64,3,18,4,20,7,30,15,96,12,66,14,47,4,22,44,312,17,45,16,121,14,57,6,13,4,8,42,6,2,6,31,14,48,1,6,7,38,8,0,0,501,17,234,2,2,0,7.5,2,15,3,11.5,11,20,3,1,8,2,11,0,0,1,0,1,0,0,0,86,75
8216,4108,CAR,29,10,0,7,6,7,10,0,140,36,239,35,16,2,1,2,7,291,2,18,2,37,3,14,55,33.5,3,1,2,0,3,3,133,3,2,62,138,12,5,4,3,13,5,5,3,4,19,3,14,8,33,10,25,3,19,2,16,6,14,16,62,14,43,6,35,10,41,13,66,0,0,11,46,7,65,1,0,3,71,15,102,4,26,12,79,4,41,50,402,14,53,11,89,12,97,3,7,6,11,38,7,13,4,9,10,60,9,43,2,8,9,1,0,538,16,277,0,1,0,6,1,12.5,6,15.5,15,27,4,2,11,4,9,0,1,3,0,1,0,1,0,75,86
8217,4109,CLE,10,3,7,0,0,4,9,0,69,17,144,33,15,3,0,0,6,274,1,0,2,42,0,0,28,24,1,0,1,0,1,1,27,3,1,35,51,6,3,3,0,12,4,3,5,1,4,2,13,2,5,4,17,3,10,3,13,2,7,9,26,6,23,2,20,4,31,9,41,7,29,8,47,4,51,3,0,2,0,6,22,11,34,8,48,8,64,42,224,12,40,11,52,13,52,3,8,4,8,31,11,54,0,0,0,0,4,7,7,5,24,0,0,229,9,245,1,1,0,15,3.5,8.5,2.5,9.5,13,0,1,1,9,1,5,0,2,1,0,1,0,1,0,53,67
8218,4109,CIN,31,7,7,3,14,8,13,2,155,40,219,27,21,2,0,0,3,79,3,9,1,13,0,0,20,36,4,1,3,0,1,1,28,4,3,72,54,18,9,6,3,16,4,6,6,6,50,3,8,7,20,6,42,4,15,5,13,3,7,15,89,13,45,6,21,5,6,9,63,6,83,6,51,2,19,0,0,2,18,9,78,7,82,6,53,3,21,37,337,12,41,8,65,9,113,6,8,7,5,16,5,47,2,29,1,25,7,8,7,45,15,0,0,249,10,59,0,0,0,7.5,4,5.5,3,4,10,0,6,4,6,4,8,0,0,0,0,1,0,0,2,67,53
8219,4110,GB,29,7,0,7,15,3,16,2,71,19,331,48,25,5,1,1,8,357,4,18,3,71,1,4,87,28,4,0,4,0,0,0,0,3,2,15,250,7,4,3,0,22,11,6,5,3,13,5,16,2,3,4,14,0,0,3,15,2,10,8,20,9,40,2,11,4,22,15,75,8,34,16,81,4,114,3,56,2,21,23,204,6,57,9,19,10,101,59,407,23,128,15,150,15,65,6,8,11,6,33,8,30,2,5,7,13,4,23,9,29,38,0,0,461,16,322,0,2,0,7,0,15.5,3,12.5,9,16,1,0,11,3,8,0,0,2,2,2,2,1,1,77,67
8220,4110,CAR,37,3,24,3,7,9,10,1,130,36,297,30,15,0,1,0,6,289,5,35,2,33,1,1,45,32,4,1,3,0,3,4,91,5,3,57,217,14,8,4,2,13,7,3,3,4,-3,3,9,4,11,11,63,6,12,2,9,6,29,20,72,11,31,5,27,10,56,9,41,4,14,9,68,3,63,1,52,3,59,8,70,10,153,9,72,2,2,47,472,11,144,9,41,10,112,2,6,7,8,54,5,30,3,8,1,0,6,27,7,30,0,1,1,423,15,271,0,0,0,5,3.5,9,4.5,5,17,24,3,1,11,4,8,0,0,0,1,1,2,1,1,67,77
8221,4111,WAS,10,0,3,0,7,3,12,1,37,15,213,40,22,1,1,1,4,188,1,9,3,48,1,44,27,23,1,0,1,0,1,1,23,2,1,10,36,6,2,3,1,16,8,2,6,0,0,1,2,0,0,6,12,5,22,1,2,2,-1,9,22,4,14,2,1,0,0,14,56,10,82,9,43,4,0,1,0,2,36,14,85,10,76,9,18,7,38,39,224,15,86,13,21,13,106,7,11,4,2,6,5,9,0,0,0,0,2,0,7,30,4,0,0,214,9,190,0,2,0,9,2,9.5,7,14.5,15,7,2,1,12,6,3,0,1,1,1,0,1,1,0,58,80
8222,4111,NE,27,14,3,3,7,10,15,2,163,39,299,39,26,0,1,1,2,69,2,2,2,18,1,13,43,37,3,1,2,0,2,2,42,6,3,80,72,19,10,7,2,21,4,8,9,2,12,3,27,4,18,7,31,8,27,10,59,1,-11,21,100,11,58,3,5,0,0,22,138,8,66,4,29,0,0,3,48,2,18,13,79,9,102,8,52,9,66,32,321,11,35,14,123,14,141,6,13,7,11,42,19,143,0,0,0,0,7,15,9,51,0,0,0,322,11,60,0,1,0,10.5,3,2,2.5,2.5,16.5,1,5,3,10,6,6,0,0,3,2,0,1,0,0,80,58
8223,4112,TEN,34,10,7,3,8,3,19,3,112,28,371,39,28,0,0,1,5,253,2,12,4,96,1,0,66,32.5,4,0,4,0,2,3,80,5,3,53,222,8,6,1,1,23,11,8,4,4,21,3,19,2,3,0,0,11,19,6,49,2,1,19,95,6,11,3,6,1,5,15,118,8,61,11,81,3,110,0,0,2,0,5,73,14,94,14,152,6,51,36,315,14,166,15,113,10,91,9,11,8,7,19,6,65,10,25,17,160,6,11,8,40,0,3,0,342,13,232,0,2,0,7.5,1,9,13.5,7.5,14.5,4,4,2,6,2,9,0,0,3,0,0,1,6,0,71,76
8224,4112,NO,28,14,7,0,7,5,18,7,63,29,355,39,28,4,1,1,4,183,3,21,3,82,0,0,75,33,4,1,3,0,0,1,0,4,3,12,175,9,3,6,0,24,10,8,6,3,12,1,4,3,8,1,1,8,14,7,20,2,4,15,29,9,34,1,0,1,1,7,43,8,70,13,80,7,147,0,0,4,47,9,108,13,153,10,82,7,44,26,227,18,153,15,104,10,98,4,15,9,6,13,12,155,4,5,14,56,5,3,5,10,32,0,0,282,12,171,0,2,0,12.5,1.5,9.5,7,6,15.5,1,1,0,9,5,7,0,1,3,0,1,3,2,0,76,71
8225,4113,MIA,17,0,7,7,3,6,16,7,106,23,291,37,28,2,0,1,3,114,2,18,4,50,0,0,62,29,2,2,0,0,1,1,48,4,2,37,186,14,9,4,1,23,13,7,3,5,45,1,3,2,6,6,13,3,17,2,6,4,16,14,67,8,36,1,3,2,3,9,51,3,11,17,144,2,21,2,45,3,46,22,197,2,0,4,15,7,97,49,413,20,168,11,128,8,-5,9,11,8,5,17,5,38,0,0,0,0,4,10,6,10,27,0,1,136,9,94,1,1,0,8.5,3,9.5,1,12,8,6,1,1,4,0,4,0,1,5,1,1,0,1,1,69,55
8226,4113,BUF,33,9,10,7,7,10,7,1,269,40,154,12,11,3,0,0,3,150,0,0,3,32,0,0,94,31,4,3,1,0,1,1,43,2,1,186,107,17,10,3,4,7,2,1,4,7,44,5,74,4,20,5,26,4,33,3,8,5,57,17,143,10,48,6,71,7,48,4,29,2,12,4,33,1,60,0,0,1,44,9,165,0,0,1,6,2,7,32,571,5,64,4,-6,6,93,1,8,2,12,110,5,9,0,0,0,0,1,11,0,0,27,0,0,267,9,132,0,2,0,3.5,4,8,2,8.5,24,0,1,1,7,4,4,2,3,3,0,1,6,2,0,55,69
8227,4114,STL,18,6,9,0,3,10,5,3,160,36,160,32,18,1,0,0,8,372,4,27,0,0,1,0,87,32.5,1,1,0,0,4,5,194,2,1,107,98,13,7,5,1,7,3,2,2,5,26,2,1,2,7,14,33,1,2,2,1,10,90,23,93,11,61,2,6,1,2,8,24,4,39,11,27,2,0,1,55,5,23,12,102,8,15,5,35,6,16,23,35,7,36,11,42,15,82,10,5,3,7,22,8,74,12,68,10,23,2,6,1,0,8,0,1,337,14,332,0,1,0,12.5,0,7,3.5,9.5,12.5,7,2,1,11,1,11,0,0,2,2,5,3,1,0,74,72
8228,4114,MIN,21,10,0,8,0,9,6,6,146,36,148,27,15,1,1,0,8,334,4,40,4,96,0,0,67,33,2,2,0,0,2,2,74,3,2,74,55,15,12,1,2,13,5,7,1,5,14,3,8,1,11,14,61,2,17,1,-2,8,37,22,111,8,14,4,21,3,17,5,65,5,12,11,57,2,25,0,0,4,0,11,46,5,37,7,47,4,29,19,76,8,35,11,97,9,16,4,7,4,5,20,10,79,15,65,7,4,4,12,3,15,11,0,0.5,408,14,287,1,1,0,16.5,0.5,10,6,8.5,9.5,2,3,2,6,1,7,0,1,3,0,0,1,2,0,72,74
8229,4115,JAC,23,3,7,3,10,3,16,0,98,19,338,40,24,6,2,2,5,203,2,20,4,117,0,0,30,29.5,2,0,2,0,3,3,119,2,0,66,274,6,3,1,2,21,13,3,5,3,23,3,5,1,2,7,17,2,4,0,0,3,42,9,62,8,20,2,11,4,32,10,47,3,11,11,37,10,156,2,56,4,74,19,243,7,54,10,47,4,37,46,431,22,208,10,65,14,73,5,7,12,5,11,8,53,2,42,11,92,1,-1,6,6,43,0,0,328,13,161,0,3,0,6,4.5,6,5,11,11.5,0,4,3,10,3,6,0,0,2,0,2,1,0,0,66,65
8230,4115,NYJ,28,14,0,7,7,2,12,0,32,29,261,34,21,2,0,0,9,351,4,42,4,115,2,8,41,30.5,4,2,2,0,0,0,0,3,3,0,127,5,3,1,1,14,1,8,5,3,-2,3,10,1,1,10,5,1,1,5,5,2,10,14,20,8,13,3,-3,1,1,12,82,6,55,9,8,6,89,1,38,0,0,17,123,7,67,4,44,6,38,37,263,9,21,14,153,13,87,6,7,8,7,8,9,69,8,11,8,83,5,11,5,43,11,2,1,581,15,331,0,5,0,9.5,3,3,6.5,6.5,15.5,1,1,1,9,3,12,0,4,1,0,1,0,1,0,65,66
8231,4116,OAK,35,7,7,7,14,6,17,1,140,26,301,44,24,0,1,3,7,277,1,1,5,74,1,1,21,28,5,1,4,0,0,0,0,4,3,90,137,10,5,4,1,19,11,3,5,1,3,0,0,3,23,9,66,3,8,6,31,2,5,11,55,11,82,2,-1,1,4,11,56,4,48,18,61,0,0,4,96,7,40,25,196,6,73,10,27,3,5,48,321,22,198,10,28,12,75,6,10,8,4,55,10,36,1,4,15,85,2,19,5,16,0,1,0,458,15,275,0,3,0,10,1,6.5,2.5,11.5,21.5,9,2,2,8,3,6,0,1,0,0,0,3,0,0,70,85
8232,4116,PIT,38,3,18,0,17,9,16,2,195,30,402,50,28,1,1,1,5,208,3,2,4,83,1,25,42,32,4,2,2,0,3,4,90,6,4,116,234,16,6,8,2,23,13,5,5,2,47,1,3,5,19,14,63,5,16,1,12,2,22,14,82,13,95,3,5,0,0,13,96,8,55,18,143,4,60,2,0,5,59,27,282,9,31,8,45,6,55,44,304,22,214,13,42,16,146,9,10,9,7,24,15,153,10,65,15,113,9,28,6,30,11,0,0,420,15,207,0,3,0,6.5,1,5,7.5,10.5,11.5,9,5,4,9,2,5,0,3,2,0,1,0,1,0,85,70
8233,4117,NYG,32,10,7,3,12,6,14,4,115,34,213,40,26,0,2,0,1,64,0,0,2,54,0,0,49,35,3,0,2,1,4,4,167,4,2,11,24,18,9,9,0,20,7,4,9,1,-3,4,4,9,40,9,39,8,28,1,7,0,0,17,58,14,58,1,-1,0,0,14,87,9,51,14,75,1,0,1,0,1,0,22,145,4,4,8,29,6,35,38,210,14,74,10,37,16,102,7,16,3,7,25,15,85,11,46,7,44,5,9,7,21,0,0,0,336,11,63,0,1,0,6,2,10.5,5.5,5.5,8.5,34,3,1,7,4,6,6,0,1,1,1,2,2,0,75,63
8234,4117,TB,18,6,3,3,6,6,10,3,136,23,249,36,19,0,0,3,2,85,1,1,4,87,2,34,79,25,1,1,0,0,4,5,127,4,1,81,93,12,7,3,2,17,10,3,4,0,0,3,12,2,42,4,11,6,14,3,14,5,24,12,81,8,23,3,13,3,24,9,56,5,32,15,45,2,16,3,78,2,17,19,147,9,59,1,17,7,21,26,180,16,148,10,36,10,60,7,5,7,4,7,4,60,5,56,10,47,6,20,6,4,0,0,0,293,11,65,1,1,0,10.5,0,11,6.5,10.5,17.5,13,3,1,6,3,4,0,0,4,0,3,1,2,1,63,75
8235,4118,ATL,16,3,10,0,3,2,15,0,17,14,285,45,30,2,0,0,7,304,4,76,4,115,2,2,63,32,1,0,1,0,3,3,99,3,1,0,100,4,1,2,1,21,14,3,4,4,0,1,-3,1,3,2,7,2,12,1,4,3,-6,9,-2,4,15,1,4,1,2,17,96,10,49,13,58,4,46,1,54,0,0,19,157,5,17,11,62,10,67,38,225,18,192,15,62,14,31,11,13,6,3,2,8,35,2,8,12,61,1,1,7,36,18,0,0,369,11,287,0,5,0,12.5,1,14.5,4,6,8,3,2,2,7,0,5,0,0,1,1,1,1,2,0,64,66
8236,4118,SF,17,0,17,0,0,8,8,2,136,42,185,26,15,0,2,0,5,241,1,17,3,80,0,0,30,28,2,0,2,0,1,1,44,2,2,51,88,12,4,5,3,11,5,1,5,3,26,9,14,4,11,7,41,4,20,3,3,5,22,17,76,13,49,5,12,5,36,6,31,3,1,8,109,7,44,0,0,2,0,4,44,10,72,7,31,5,38,22,243,9,51,6,19,11,115,3,8,4,9,36,6,56,13,40,4,25,7,13,3,20,0,2,0,236,12,165,0,0,0,3,1,6,7,5,22,1,4,3,8,2,9,0,1,1,1,2,0,0,0,66,64
8237,4119,DEN,24,0,7,10,7,2,13,1,35,14,274,36,21,1,2,0,5,215,1,83,2,69,0,0,56,21.5,3,0,2,0,1,1,29,2,1,22,148,4,3,1,0,16,9,1,6,2,-6,2,22,1,3,1,3,1,8,5,9,2,-4,11,38,3,-3,0,0,0,0,11,67,7,31,7,39,2,16,3,60,6,64,18,136,5,22,11,115,2,4,49,341,13,100,12,39,12,131,7,8,6,4,2,12,57,3,18,7,57,1,3,5,14,7,1,0,239,10,213,0,2,1,9.5,0,24,4.5,4.5,15.5,6,0,0,10,5,4,0,0,1,0,1,3,4,0,52,79
8238,4119,IND,27,7,10,0,10,7,13,7,121,41,245,36,21,1,0,0,5,226,3,2,2,33,2,1,30,38.5,3,1,2,0,2,2,121,4,3,49,96,13,5,4,4,18,5,5,8,4,7,4,32,2,9,23,64,0,0,3,15,3,-6,20,54,12,34,7,33,5,35,7,36,9,51,13,99,4,66,1,0,1,0,9,82,10,103,11,40,5,27,31,268,10,41,14,70,13,134,7,7,7,8,35,6,52,12,18,7,64,10,19,4,24,7,0,0,292,11,143,0,1,0,9,2.5,3.5,2.5,1.5,13,2,5,4,12,6,13,0,1,0,1,0,1,1,0,79,52
8239,4120,PHI,33,0,7,7,13,13,9,3,173,36,287,36,25,1,0,0,5,241,0,0,0,0,1,67,70,25.5,4,2,1,1,2,2,84,3,2,75,201,21,6,12,3,14,10,2,2,7,49,8,16,2,7,10,54,1,3,1,3,5,41,13,48,18,118,3,7,0,0,8,19,4,22,20,115,1,27,0,0,3,112,16,143,3,27,6,44,11,81,63,535,19,201,6,40,12,46,12,6,7,6,10,9,38,10,55,13,147,5,22,4,7,8,1,0,203,11,236,0,3,0,13.5,5,4.5,7,11,13,49,5,3,6,1,6,7,3,1,0,0,5,1,0,73,78
8240,4120,DAL,27,7,0,7,13,8,11,6,134,29,277,38,25,4,1,0,4,175,2,5,1,79,0,0,58,38.5,3,0,3,0,2,2,85,3,3,69,170,17,9,5,3,21,9,4,8,3,32,5,18,3,10,8,19,2,18,3,6,5,31,13,65,12,42,4,27,2,17,14,84,9,96,7,50,6,69,1,0,0,0,13,131,13,120,9,43,2,5,42,390,17,127,11,42,14,175,6,13,7,9,38,8,78,4,20,20,132,4,7,6,48,22,0,0,241,10,175,0,2,0,10.5,1.5,7,5.5,14.5,16,1,4,3,8,4,5,0,1,2,2,1,2,2,0,78,73
8241,4121,CHI,22,0,7,0,15,5,20,0,112,31,337,40,27,1,1,1,2,85,2,22,2,46,0,0,55,33.5,3,1,2,0,0,2,0,4,2,27,126,15,9,5,1,22,9,5,8,3,3,1,3,2,1,15,76,2,8,2,11,1,9,15,78,10,32,1,1,0,0,14,124,3,31,12,87,1,31,1,25,7,47,16,151,7,44,11,80,4,70,52,452,16,131,12,88,13,118,6,12,9,9,39,8,68,3,12,7,68,4,11,7,10,8,2,0,322,10,85,0,1,0,6,0.5,11,12.5,2,14,1,4,3,6,2,4,0,1,1,0,2,0,2,0,72,71
8242,4121,SD,19,7,9,0,3,5,12,2,77,19,262,42,26,2,0,1,4,159,0,0,1,24,1,68,54,26.5,2,0,1,1,2,2,53,3,1,25,40,9,4,2,3,21,7,10,4,3,8,6,24,1,4,6,32,0,0,3,9,0,0,10,37,6,18,3,22,0,0,14,83,14,88,10,69,2,40,0,0,0,0,16,96,2,12,11,69,13,103,61,404,16,53,17,139,11,70,5,16,5,4,18,6,61,5,9,16,93,3,7,5,31,18,1,0,191,9,137,0,1,0,5,1,8.5,5,11.5,19,4,3,3,8,2,5,6,1,4,3,0,0,0,0,71,72
